mode;time_ms;energy_uj
cfs;96901;12306031545
cfs;97443;12176201006
cfs;97559;12194342745
cfs;97283;12155724924
cfs;97341;12165988204
cfs;97168;12141834640
cfs;97419;12176995865
cfs;97490;12187119863
cfs;97479;12181346440
cfs;97315;12151431539
td;145552;17181250084
td;159353;17903503789
td;138433;16844352508
td;138904;17071179931
td;166513;17489073697
td;139866;16076953655
td;114271;14438344325
td;161170;17277381307
td;141801;16786859796
td;133197;16382951284
tetris;63675;8247799686
tetris;62620;7923945169
tetris;69123;7598595050
tetris;64851;8327090438
tetris;62853;7931048178
tetris;62824;7952784634
tetris;61966;7828054118
tetris;59978;7609246755
tetris;59184;7499202909
tetris;61976;7564716169
tetris-offline;56070;7037941760
tetris-offline;55247;7063549117
tetris-offline;55539;7056950074
tetris-offline;55435;7035922844
tetris-offline;55291;7016584210
tetris-offline;55391;7037407887
tetris-offline;55171;7006130380
tetris-offline;55177;7009476014
tetris-offline;55466;7040108931
tetris-offline;55399;7037591969
tetris-noscaling;135333;14651235015
tetris-noscaling;133042;14226756792
tetris-noscaling;125550;14515130810
tetris-noscaling;131970;14735101438
tetris-noscaling;134603;15319812954
tetris-noscaling;137997;15249416833
tetris-noscaling;128225;14051100443
tetris-noscaling;153253;11133255556
tetris-noscaling;123929;12716756080
tetris-noscaling;132110;13847259839
tetris-grouped;93456;7958019056
tetris-grouped;79847;8148065872
tetris-grouped;70965;8376030437
tetris-grouped;67586;8357341337
tetris-grouped;67888;8262091886
tetris-grouped;61575;7789292254
tetris-grouped;63045;7970950847
tetris-grouped;63857;8097689292
tetris-grouped;62691;7913123542
tetris-grouped;64244;7960397834
overhead;97608;12353897573
overhead;97556;12294735859
overhead;97551;12299074532
overhead;97811;12329563651
overhead;97762;12325809022
overhead;97368;12276870853
overhead;97433;12280363703
overhead;97445;12271896441
overhead;97479;12292214321
overhead;97678;12294779561
