mode;time_ms;energy_uj
cfs;99469;12540078676
cfs;99127;12391413102
cfs;99426;12431882176
cfs;99341;12420948000
cfs;99481;12433363983
cfs;99578;12435035793
cfs;99523;12424316460
cfs;99822;12474722887
cfs;99492;12434353544
cfs;99332;12401044669
td;142568;17007109049
td;138076;16756432872
td;126356;15399992498
td;145693;17450700931
td;126818;15349552013
td;119888;14715540331
td;124870;15049239244
td;128725;15264197374
td;114624;14185558777
td;172597;18613782610
tetris;64358;8352733927
tetris;64282;8110626942
tetris;64907;8220741833
tetris;63449;8043537391
tetris;63548;8049665917
tetris;63207;8018199261
tetris;65585;8169810812
tetris;63912;8102447947
tetris;62766;7951036835
tetris;63251;8019946510
tetris-offline;57344;7276427600
tetris-offline;57146;7252719042
tetris-offline;57167;7253519944
tetris-offline;57418;7284126433
tetris-offline;57238;7251487783
tetris-offline;56881;7224033020
tetris-offline;57089;7250804252
tetris-offline;57261;7268403268
tetris-offline;57306;7275657888
tetris-offline;56954;7229072741
tetris-noscaling;114904;13209531552
tetris-noscaling;97931;12122293796
tetris-noscaling;123565;13616983145
tetris-noscaling;109585;13635446478
tetris-noscaling;130788;13991131053
tetris-noscaling;93769;11928369854
tetris-noscaling;97500;12047600140
tetris-noscaling;115219;12964424513
tetris-noscaling;106518;12849159123
tetris-noscaling;105542;12790873689
tetris-grouped;63167;7998460236
tetris-grouped;61109;7738684901
tetris-grouped;66188;7303845498
tetris-grouped;61896;7936142220
tetris-grouped;62691;7879830841
tetris-grouped;61020;7642296720
tetris-grouped;65616;7814531448
tetris-grouped;61251;7676640443
tetris-grouped;61376;7686061439
tetris-grouped;66040;7585451894
overhead;99991;12607039015
overhead;99686;12573664771
overhead;99527;12552442658
overhead;99627;12565303831
overhead;99561;12551539950
overhead;99414;12536375683
overhead;99448;12524882426
overhead;99768;12581797686
overhead;99582;12553948636
overhead;99447;12537982795
