mode;time_ms;energy_uj
cfs;109731;13838758579
cfs;109580;13698903468
cfs;109742;13703047257
cfs;109724;13713725696
cfs;109831;13705288950
cfs;109633;13700962057
cfs;109542;13691666914
cfs;109734;13715006637
cfs;109713;13713050771
cfs;109901;13735361932
td;149176;18149399094
td;139316;16798753992
td;127902;15941202110
td;153798;18393500459
td;154670;18579261397
td;158326;18805123002
td;130273;16428708980
td;150371;18265192316
td;133121;16620610772
td;127579;15942208577
tetris;80320;10011625615
tetris;80340;10006166340
tetris;77625;9670920311
tetris;75720;9551549279
tetris;75344;9535256779
tetris;75938;9596839202
tetris;77927;9807842567
tetris;76125;9600741718
tetris;74592;9431141018
tetris;76407;9652678536
tetris-offline;67866;8596250699
tetris-offline;68079;8618898284
tetris-offline;67525;8553815993
tetris-offline;67815;8592104408
tetris-offline;67764;8581188360
tetris-offline;67771;8583711851
tetris-offline;67516;8552276996
tetris-offline;67693;8575701008
tetris-offline;67639;8567198099
tetris-offline;67752;8582179629
tetris-noscaling;133597;15052769754
tetris-noscaling;147716;15285768242
tetris-noscaling;126328;14670275798
tetris-noscaling;105416;13571939865
tetris-noscaling;119782;14372963754
tetris-noscaling;124074;14347293532
tetris-noscaling;118792;14869922688
tetris-noscaling;143816;15180773026
tetris-noscaling;145268;15353211550
tetris-noscaling;119275;14843345485
tetris-grouped;76553;9218216575
tetris-grouped;74556;9569106485
tetris-grouped;75270;9450880651
tetris-grouped;73710;9206893728
tetris-grouped;72956;9192523404
tetris-grouped;77258;9092810951
tetris-grouped;73101;9371582271
tetris-grouped;73512;9273912965
tetris-grouped;72699;9077256548
tetris-grouped;72143;9262965301
overhead;110148;13884256875
overhead;110225;13868837664
overhead;110165;13858639510
overhead;110071;13869102007
overhead;110172;13882096603
overhead;109953;13855110771
overhead;110041;13845977128
overhead;109936;13851960816
overhead;109903;13850819950
overhead;110008;13855041130
