mode;time_ms;energy_uj
cfs;195305;24446609536
cfs;192782;24083755972
cfs;197694;24634595505
cfs;201409;25084152459
cfs;192695;24094137172
cfs;201031;25047814967
cfs;203518;25327447308
cfs;204355;25486694214
cfs;191083;23827332312
cfs;192409;24030567632
td;194538;23694620432
td;198260;23424452234
td;193422;23523444224
td;191123;23461389523
td;191344;23523443324
td;192285;23506693913
td;195344;23841249818
td;195348;23458475523
td;193756;23609297104
td;197660;25423414223
tetris;110293;13753921394
tetris;106195;13271022911
tetris;106273;13175563683
tetris;108008;13311082501
tetris;110001;13366439537
tetris;103245;13041180787
tetris;103445;12869717542
tetris;102822;12927857285
tetris;104473;13071414108
tetris;106155;13263392437
tetris-offline;110296;12107786570
tetris-offline;110340;12379161363
tetris-offline;110200;12370832100
tetris-offline;110326;12355980392
tetris-offline;110404;12359683020
tetris-offline;110474;12379119615
tetris-offline;110480;12403104295
tetris-offline;110278;12373449342
tetris-offline;110368;12385760834
tetris-offline;110269;12381326153
tetris-noscaling;569695;44493714709
tetris-noscaling;561433;36429819581
tetris-noscaling;556688;35070620363
tetris-noscaling;579468;39240031137
tetris-noscaling;572005;37638690388
tetris-noscaling;537253;37874922205
tetris-noscaling;550908;41450213467
tetris-noscaling;562542;42866306400
tetris-noscaling;574269;36615574355
tetris-noscaling;563691;35093040533
tetris-grouped;104409;13307256278
tetris-grouped;117531;11580277849
tetris-grouped;114681;12217328282
tetris-grouped;104864;13167184554
tetris-grouped;110171;13690285814
tetris-grouped;106417;13003900365
tetris-grouped;104439;13057475484
tetris-grouped;104379;13141275623
tetris-grouped;111217;12926374562
tetris-grouped;105026;13200208273
overhead;213739;26730843739
overhead;215189;26893825683
overhead;207740;26039549611
overhead;214707;26865415478
overhead;206703;25910669509
overhead;202894;25441095271
overhead;208588;26114256511
overhead;216534;27059685976
overhead;218686;27334520599
overhead;210578;26372221305
