mode;time_ms;energy_uj
cfs;19002;2467880096
cfs;19136;2387312492
cfs;18997;2373839870
cfs;19172;2392891640
cfs;19303;2412524830
cfs;19117;2386767998
cfs;19173;2396218048
cfs;19003;2375869589
cfs;19134;2387264580
cfs;19079;2380067577
td;19095;2382510137
td;19160;2389566576
td;19114;2384769408
td;19053;2377767351
td;19155;2392650307
td;19160;2394258641
td;19129;2390463790
td;19053;2381962713
td;19174;2393587927
td;19143;2389150867
tetris;17949;1560223911
tetris;17813;1537666962
tetris;22223;1630263588
tetris;23475;1628842754
tetris;23676;1631395726
tetris;24825;1634346646
tetris;23834;1630095132
tetris;24797;1637131917
tetris;25692;1649978869
tetris;23315;1626336718
tetris-offline;20223;1268169605
tetris-offline;19694;1242862846
tetris-offline;18961;1208517536
tetris-offline;19395;1233687333
tetris-offline;18784;1198416122
tetris-offline;19232;1224278421
tetris-offline;20374;1278634971
tetris-offline;20282;1267703725
tetris-offline;18929;1205222561
tetris-offline;19123;1220581531
tetris-noscaling;75076;3977139049
tetris-noscaling;74870;3973410421
tetris-noscaling;73662;3961381888
tetris-noscaling;73700;3958170409
tetris-noscaling;74965;3971712672
tetris-noscaling;74617;3971344020
tetris-noscaling;74296;3967823705
tetris-noscaling;74067;3966821510
tetris-noscaling;73724;3958122985
tetris-noscaling;74188;3963974044
tetris-grouped;24738;1632230929
tetris-grouped;24980;1634491421
tetris-grouped;23895;1625848926
tetris-grouped;24364;1635561670
tetris-grouped;24461;1632592317
tetris-grouped;23322;1626715929
tetris-grouped;23491;1625102529
tetris-grouped;24498;1633800871
tetris-grouped;24678;1637367452
tetris-grouped;23328;1622623776
overhead;19238;2680774692
overhead;19512;2530320549
overhead;19060;2477523687
overhead;19042;2476351571
overhead;19162;2487747111
overhead;18981;2468642911
overhead;19034;2471714436
overhead;19012;2472229084
overhead;19066;2477063483
overhead;18962;2464967994
