mode;time_ms;energy_uj
cfs;69161;8561206294
cfs;70528;8622480429
cfs;69850;8540532641
cfs;70280;8601531874
cfs;71039;8692299891
cfs;70603;8630491395
cfs;69970;8563388233
cfs;69926;8556320380
cfs;70061;8582608461
cfs;70286;8598043785
td;85110;8966367244
td;84484;9426683266
td;85690;9353125348
td;107040;11699634416
td;81776;8924536235
td;118505;12365597250
td;93114;9951581091
td;92182;9711350627
td;94161;9453721587
td;77853;8553780654
tetris;28135;3363282589
tetris;35130;3614236963
tetris;35525;3825110996
tetris;33278;3908052312
tetris;31162;4084986002
tetris;34102;4031708673
tetris;35098;4208188446
tetris;34155;4100679749
tetris;35767;4068630759
tetris;34532;4093467853
tetris-offline;28597;2834964728
tetris-offline;28735;3048982917
tetris-offline;28461;3046947583
tetris-offline;28748;3059433636
tetris-offline;28171;3052280821
tetris-offline;28252;3043756979
tetris-offline;28308;3045524308
tetris-offline;28462;3052708921
tetris-offline;28509;3067070151
tetris-offline;28715;3054301080
tetris-noscaling;121494;8775194576
tetris-noscaling;119264;7527227434
tetris-noscaling;108053;7989941826
tetris-noscaling;117171;7447905067
tetris-noscaling;116043;8876427350
tetris-noscaling;112743;7938327395
tetris-noscaling;122374;8378719761
tetris-noscaling;106463;8964855773
tetris-noscaling;115375;8332736847
tetris-noscaling;122169;7858637779
tetris-grouped;29541;3589579678
tetris-grouped;31205;4063230809
tetris-grouped;27760;3319284166
tetris-grouped;28167;3388831779
tetris-grouped;29170;3442880713
tetris-grouped;28584;3380822461
tetris-grouped;28607;3287442695
tetris-grouped;27933;3228414160
tetris-grouped;27128;3183630644
tetris-grouped;27133;3101619989
overhead;70257;8920108085
overhead;71117;8856804413
overhead;69017;8614200237
overhead;70352;8765826619
overhead;70496;8772368778
overhead;68712;8571160980
overhead;70301;8763226040
overhead;70409;8771352606
overhead;70499;8790065449
overhead;70307;8758872414
