mode;time_ms;energy_uj
cfs;2274;387726302
cfs;2414;306721688
cfs;2409;301902487
cfs;2808;311158139
cfs;2362;332121037
cfs;2408;304217788
cfs;2405;301482749
cfs;2441;301242088
cfs;2392;302292561
cfs;2427;299869349
td;2467;299375943
td;2415;306451059
td;2449;303905411
td;2451;306618539
td;2440;306763192
td;2446;306635995
td;2443;306680856
td;2443;305419933
td;2443;306701546
td;2441;307803228
tetris;3665;424224256
tetris;3822;430388669
tetris;3745;429362365
tetris;3691;425267039
tetris;3715;426071419
tetris;4287;440934296
tetris;3417;412653668
tetris;2852;471068130
tetris;2120;437990456
tetris;2152;442822597
tetris-offline;2247;394196013
tetris-offline;2258;389775369
tetris-offline;2274;390506934
tetris-offline;2251;393367706
tetris-offline;2249;388362043
tetris-offline;2528;400033766
tetris-offline;2204;407777399
tetris-offline;2272;390726356
tetris-offline;2621;401854989
tetris-offline;2232;413332621
tetris-noscaling;3326;434751695
tetris-noscaling;3576;439187536
tetris-noscaling;3177;485537697
tetris-noscaling;2550;475994142
tetris-noscaling;2799;450401312
tetris-noscaling;2221;408661918
tetris-noscaling;2245;389909097
tetris-noscaling;2266;388963786
tetris-noscaling;2258;391492834
tetris-noscaling;2252;392368197
tetris-grouped;3952;492474997
tetris-grouped;2167;431618829
tetris-grouped;2556;443907494
tetris-grouped;6058;469108601
tetris-grouped;9918;427265935
tetris-grouped;8696;412310468
tetris-grouped;8675;413079143
tetris-grouped;8696;413052043
tetris-grouped;8687;411068711
tetris-grouped;8662;412069014
overhead;2164;430479672
overhead;2128;433717945
overhead;2413;447434584
overhead;2151;436805156
overhead;2135;438650976
overhead;2233;398090655
overhead;2281;388819561
overhead;2251;391068579
overhead;2263;392852510
overhead;2257;392238192
