mode;time_ms;energy_uj
cfs;14711;1945565759
cfs;14969;1871508331
cfs;14874;1861339840
cfs;14973;1872617154
cfs;14904;1864411975
cfs;14912;1866395612
cfs;14921;1868493081
cfs;14949;1872094695
cfs;14866;1860619748
cfs;14943;1872357023
td;15753;1971852252
td;15772;1970969869
td;16267;2020697830
td;15716;1963374185
td;17451;1907488281
td;15793;2111654568
td;15569;1948879959
td;17375;1924892473
td;15505;2073777894
td;17793;2223124802
tetris;17200;1971351521
tetris;20491;2084373021
tetris;18413;2138436298
tetris;25860;2040477686
tetris;21350;2230609035
tetris;23877;2260684459
tetris;28508;2043306964
tetris;30180;2045891064
tetris;14941;2148039056
tetris;15867;2049374820
tetris-offline;14110;1788494811
tetris-offline;13976;1782542983
tetris-offline;14059;1783721691
tetris-offline;14240;1806360366
tetris-offline;14074;1790024531
tetris-offline;14038;1787362978
tetris-offline;14048;1788745299
tetris-offline;14107;1794721784
tetris-offline;14103;1791801138
tetris-offline;14448;1809311103
tetris-noscaling;18958;2317076161
tetris-noscaling;21356;2268337638
tetris-noscaling;20072;2088295435
tetris-noscaling;19970;2127136767
tetris-noscaling;17596;2389946396
tetris-noscaling;17225;2200259260
tetris-noscaling;17260;2186195942
tetris-noscaling;15573;2107207313
tetris-noscaling;15813;2081636821
tetris-noscaling;23956;2188947400
tetris-grouped;17487;2187991163
tetris-grouped;18246;2063748379
tetris-grouped;15743;2097142580
tetris-grouped;15773;1977738163
tetris-grouped;17955;2091270587
tetris-grouped;14938;2011297341
tetris-grouped;18090;1928427619
tetris-grouped;16529;1958794485
tetris-grouped;17101;1965800143
tetris-grouped;16964;1831074109
overhead;14423;2125003105
overhead;14756;1957128962
overhead;14824;1960824082
overhead;14800;1958922291
overhead;14729;1949192642
overhead;14880;1969133752
overhead;14821;1966106356
overhead;15061;1881043707
overhead;14928;1973024062
overhead;14794;1959009573
