mode;time_ms;energy_uj
cfs;4096;620399779
cfs;4332;541621050
cfs;4300;539534141
cfs;4279;534366552
cfs;4305;537964809
cfs;4294;536882720
cfs;4297;537678860
cfs;4304;539323632
cfs;4315;539030602
cfs;4305;538110012
td;4675;586278712
td;4514;564922443
td;4489;561004301
td;4598;575542655
td;4446;558320348
td;4518;565127642
td;4424;555117597
td;4460;556474649
td;4546;568555307
td;4485;561880946
tetris;4151;631566987
tetris;4146;628054056
tetris;4146;629137123
tetris;4180;631366609
tetris;4118;627417827
tetris;4134;626764569
tetris;4169;630645846
tetris;4144;629703589
tetris;4135;627435589
tetris;4134;626023422
tetris-offline;4195;633596950
tetris-offline;4196;634454675
tetris-offline;4173;629339758
tetris-offline;4142;629149512
tetris-offline;4187;630981478
tetris-offline;4117;622991508
tetris-offline;4189;635874409
tetris-offline;4115;623944143
tetris-offline;4169;630562045
tetris-offline;4193;632909085
tetris-noscaling;4167;632164275
tetris-noscaling;4100;622231683
tetris-noscaling;4154;628550332
tetris-noscaling;4113;622766167
tetris-noscaling;4128;625509568
tetris-noscaling;4192;636183003
tetris-noscaling;4131;625520066
tetris-noscaling;4133;626916059
tetris-noscaling;4149;629808996
tetris-noscaling;4102;619662598
tetris-grouped;4153;629564367
tetris-grouped;4166;628369791
tetris-grouped;4162;628874916
tetris-grouped;4168;632372710
tetris-grouped;4147;627440166
tetris-grouped;4136;627157635
tetris-grouped;4163;629639013
tetris-grouped;4156;630101293
tetris-grouped;4120;624762744
tetris-grouped;4071;621373897
overhead;4132;627286603
overhead;4136;628252603
overhead;4148;629618078
overhead;4150;627916849
overhead;4137;627762186
overhead;4125;627783244
overhead;4151;628011515
overhead;4145;628637124
overhead;4136;629550451
overhead;4182;632360564
