mode;time_ms;energy_uj
cfs;13108;1735882946
cfs;13187;1647982659
cfs;13210;1650397631
cfs;13202;1649914111
cfs;13200;1646644954
cfs;13173;1642172492
cfs;13274;1655005772
cfs;13145;1639948134
cfs;13160;1648606375
cfs;13182;1649403920
td;15159;1604504499
td;13021;1759663647
td;15096;1599887018
td;13030;1760140819
td;13122;1645942381
td;15150;1602661424
td;12987;1757334429
td;15178;1604295697
td;12981;1756301168
td;15093;1597691589
tetris;14003;1820168620
tetris;14031;1829073625
tetris;14035;1828530292
tetris;14026;1823632233
tetris;14033;1825943812
tetris;14006;1827517355
tetris;13995;1824937833
tetris;14033;1829130022
tetris;14011;1826877831
tetris;13994;1824628813
tetris-offline;13044;1453060795
tetris-offline;13104;1450550669
tetris-offline;13040;1442518769
tetris-offline;13067;1436202073
tetris-offline;13115;1448195938
tetris-offline;13055;1444429407
tetris-offline;13039;1443012419
tetris-offline;13067;1440766942
tetris-offline;13006;1440203833
tetris-offline;13152;1446741353
tetris-noscaling;17622;1955470275
tetris-noscaling;17988;1879344249
tetris-noscaling;16288;2010171429
tetris-noscaling;18224;1972456437
tetris-noscaling;19445;1659427026
tetris-noscaling;18034;1953825503
tetris-noscaling;17094;1880944709
tetris-noscaling;19266;1581194073
tetris-noscaling;19292;1574427549
tetris-noscaling;20632;1609662445
tetris-grouped;14425;1747112349
tetris-grouped;14621;1405858767
tetris-grouped;15018;1425276441
tetris-grouped;16261;1489904206
tetris-grouped;14645;1404205206
tetris-grouped;15310;1551845758
tetris-grouped;14831;1485582806
tetris-grouped;14881;1420584681
tetris-grouped;15530;1456758721
tetris-grouped;14478;1408066891
overhead;13073;1889526107
overhead;13223;1750515416
overhead;13221;1751384006
overhead;13184;1745698962
overhead;13200;1749863562
overhead;13200;1748704874
overhead;13234;1751639986
overhead;13293;1762057562
overhead;13213;1751890229
overhead;13204;1752007417
