mode;time_ms;energy_uj
cfs;256124;32042144291
cfs;276547;34566853342
cfs;282788;35357160096
cfs;254893;31825848335
cfs;256995;32058888144
cfs;265409;33182498792
cfs;256441;32062806713
cfs;273011;34123765488
cfs;258001;32258329466
cfs;255913;31985049954
td;252727;31588645085
td;286077;35760908635
td;264937;33127168551
td;256733;32109677564
td;281333;35172569260
td;278293;34796191073
td;270877;33864880346
td;282222;35289096672
td;271437;33933969342
td;253399;31674346953
tetris;118809;12713726058
tetris;121059;14927641229
tetris;126737;14808326409
tetris;119090;14122106486
tetris;116295;14316302400
tetris;115112;14048684128
tetris;113234;13966492200
tetris;116487;14137497622
tetris;113105;14008016691
tetris;114783;14202950640
tetris-offline;120549;11649616844
tetris-offline;120541;11995139459
tetris-offline;120485;11959620812
tetris-offline;120336;11855229355
tetris-offline;120440;11873196350
tetris-offline;120618;12027613496
tetris-offline;120457;12019038567
tetris-offline;120285;11874993953
tetris-offline;120436;11876596548
tetris-offline;120295;11853168874
tetris-noscaling;2543946;16768062054
tetris-noscaling;2465853;32312606872
tetris-noscaling;2345853;34212606872
tetris-noscaling;2525853;35212606872
tetris-noscaling;2545552;21710347803
tetris-noscaling;2237891;23557115640
tetris-noscaling;2457891;28857115640
tetris-noscaling;2435853;33412606872
tetris-noscaling;2750754;50539071792
tetris-noscaling;2235819;41828065771
tetris-grouped;121028;12315908901
tetris-grouped;117528;12185552850
tetris-grouped;118666;13125521636
tetris-grouped;120810;12344894423
tetris-grouped;114014;12748511553
tetris-grouped;115304;12687913137
tetris-grouped;117282;13736264335
tetris-grouped;120571;12646373265
tetris-grouped;112782;14437001371
tetris-grouped;112356;14120417098
overhead;269042;33679499230
overhead;263082;32987428186
overhead;256528;32164302364
overhead;269426;33777135576
overhead;269168;33749072049
overhead;279346;35023624329
overhead;269412;33704546101
overhead;298644;37431170411
overhead;275349;34378050237
overhead;266847;33427283933
