mode;time_ms;energy_uj
cfs;1121;148137743
cfs;1117;151909524
cfs;1115;151795693
cfs;1112;151787026
cfs;1121;151605020
cfs;1134;153032933
cfs;1116;152365455
cfs;1126;141514775
cfs;1126;141079656
cfs;1126;141146184
td;1128;141562626
td;1129;141952945
td;1130;141712345
td;1128;142183169
td;1129;142329958
td;1127;142011111
td;1130;142390077
td;1129;142262698
td;1132;142687440
td;1129;141959109
tetris;2012;117604436
tetris;1980;116454841
tetris;1972;117046698
tetris;1979;116693732
tetris;1979;116710700
tetris;2007;116807501
tetris;2022;115681222
tetris;1485;122652640
tetris;1427;122282219
tetris;1441;122638114
tetris-offline;1561;107756255
tetris-offline;1466;105643406
tetris-offline;1465;106255709
tetris-offline;1461;105859897
tetris-offline;1487;107152680
tetris-offline;1463;105722446
tetris-offline;1488;106603914
tetris-offline;1421;104901221
tetris-offline;1519;106592806
tetris-offline;1460;105484837
tetris-noscaling;1807;188848637
tetris-noscaling;1849;158038719
tetris-noscaling;1840;157803673
tetris-noscaling;1860;158220725
tetris-noscaling;1899;157851158
tetris-noscaling;1969;159241597
tetris-noscaling;1785;157171229
tetris-noscaling;1823;158482688
tetris-noscaling;1800;158576620
tetris-noscaling;1803;159001546
tetris-grouped;2023;96939937
tetris-grouped;1564;108590237
tetris-grouped;1632;101829024
tetris-grouped;1630;101230881
tetris-grouped;1642;101965498
tetris-grouped;1610;101770247
tetris-grouped;1618;101771651
tetris-grouped;2176;97847467
tetris-grouped;2209;98490104
tetris-grouped;2050;97505671
overhead;1122;145960502
overhead;1121;145763726
overhead;1123;146966115
overhead;1130;147353810
overhead;1123;146865530
overhead;1121;147060781
overhead;1119;146910879
overhead;1281;149566024
overhead;1270;150334515
overhead;1122;147392445
