mode;time_ms;energy_uj
cfs;35089;4486970141
cfs;35433;4425673302
cfs;37686;4701555469
cfs;38139;4769133665
cfs;35650;4465907269
cfs;40574;5074353465
cfs;43763;5478252211
cfs;35675;4468104406
cfs;36264;4534474414
cfs;35851;4488315231
td;35140;4403642719
td;38470;4817448971
td;35219;4413525566
td;36084;4520746118
td;35988;4509525138
td;35438;4438882313
td;36178;4528597355
td;37517;4690232805
td;36550;4580846306
td;36080;4516954013
tetris;40945;5199944818
tetris;39855;5077918519
tetris;39899;5074436045
tetris;40529;5073473340
tetris;40098;5099965033
tetris;37830;4693798530
tetris;37656;4678478624
tetris;36616;4662140287
tetris;36711;4672487245
tetris;36567;4669236948
tetris-offline;37919;4831664816
tetris-offline;38046;4855888325
tetris-offline;36923;4711422082
tetris-offline;38274;4881094987
tetris-offline;37825;4820446278
tetris-offline;38166;4862970767
tetris-offline;38041;4850867465
tetris-offline;38080;4859606700
tetris-offline;38524;4910730105
tetris-offline;38324;4885231635
tetris-noscaling;1258271;157339266338
tetris-noscaling;989457;123710397534
tetris-noscaling;926817;115884320340
tetris-noscaling;859193;107446390952
tetris-noscaling;1037452;121893002955
tetris-noscaling;2422452;256558685310
tetris-noscaling;759719;95120778768
tetris-noscaling;1716414;211300563378
tetris-noscaling;1212378;151043022143
tetris-noscaling;1212500;151615390916
tetris-grouped;44964;5384453867
tetris-grouped;40355;5128038447
tetris-grouped;38556;4903301168
tetris-grouped;47602;5366972650
tetris-grouped;37199;4707460849
tetris-grouped;37979;4679711592
tetris-grouped;36670;4683065526
tetris-grouped;36660;4676417044
tetris-grouped;36382;4646038521
tetris-grouped;36720;4681978553
overhead;60901;7722638433
overhead;35311;4514118815
overhead;46247;5886439887
overhead;43634;5556386166
overhead;48176;6131824268
overhead;37139;4749348071
overhead;65346;8270379767
overhead;35808;4575972355
overhead;53291;6764034442
overhead;38050;4863262330
