mode;time_ms;energy_uj
cfs;286591;35855305366
cfs;287132;35842632120
cfs;277203;34635784867
cfs;285431;35604549843
cfs;269158;33650188880
cfs;270760;33845891504
cfs;276406;34550434500
cfs;289510;36189397406
cfs;275265;34407420279
cfs;270169;33774044092
td;288831;36057024027
td;272156;34010756438
td;268696;33560215233
td;283233;35412704876
td;285372;35679522673
td;266000;33249888696
td;263534;32955343063
td;290613;36339421131
td;267896;33498678769
td;286585;35826685199
tetris;119839;11858611732
tetris;117879;12919188911
tetris;118240;13213254687
tetris;111545;13948606259
tetris;114034;13915298911
tetris;114066;14244770907
tetris;113839;13716925517
tetris;113965;13849681708
tetris;112192;14087537605
tetris;126790;11914586870
tetris-offline;119253;11454863681
tetris-offline;119139;11428292155
tetris-offline;119155;11421319211
tetris-offline;119339;11465812078
tetris-offline;118889;11292734579
tetris-offline;119308;11492221434
tetris-offline;119251;11447421134
tetris-offline;119196;11435540366
tetris-offline;119171;11447088921
tetris-offline;119075;11357306131
tetris-noscaling;1686648;200874272991
tetris-noscaling;2335270;26942421689
tetris-noscaling;1447286;176131779814
tetris-noscaling;2443643;11038963256
tetris-noscaling;1145978;143348683868
tetris-noscaling;2527805;4853394496
tetris-noscaling;2236331;4630506151
tetris-noscaling;1042794;126854190999
tetris-noscaling;2204548;12708440000
tetris-noscaling;2446062;31360371683
tetris-grouped;114070;12736021351
tetris-grouped;113378;13226822463
tetris-grouped;112041;13697171173
tetris-grouped;115579;14173062533
tetris-grouped;113634;13526915139
tetris-grouped;112955;12592359121
tetris-grouped;110373;13709971860
tetris-grouped;113767;13850007756
tetris-grouped;117447;14342200161
tetris-grouped;110378;13810914779
overhead;286430;35932557915
overhead;300882;37632736729
overhead;302274;37886123226
overhead;321575;40272255057
overhead;300679;37574957824
overhead;295256;36976327032
overhead;308910;38703993202
overhead;296779;37204594820
overhead;293313;36755494162
overhead;282968;35386389636
