mode;time_ms;energy_uj
cfs;32186;4406797068
cfs;32766;4092018943
cfs;32718;4088824982
cfs;32636;4076000979
cfs;36606;4572857739
cfs;32630;4079910210
cfs;32697;4081679676
cfs;32691;4082328844
cfs;32650;4081909289
cfs;32722;4095948133
td;32771;4106005907
td;32827;4113243194
td;32863;4113902981
td;32747;4103859612
td;32787;4107242903
td;32836;4109646645
td;32838;4114937525
td;32825;4113787321
td;32842;4115525292
td;32857;4117950640
tetris;40448;5128349359
tetris;40469;5133828776
tetris;37652;4781842739
tetris;37604;4801968908
tetris;37221;4749000659
tetris;37662;4805529873
tetris;37366;4766548039
tetris;37551;4790256596
tetris;37600;4802514073
tetris;37253;4759007593
tetris-offline;37031;4734297268
tetris-offline;37101;4737678668
tetris-offline;37192;4755253879
tetris-offline;37232;4758960839
tetris-offline;37137;4739534864
tetris-offline;37278;4760015586
tetris-offline;37390;4781885524
tetris-offline;37516;4790160467
tetris-offline;37008;4727944012
tetris-offline;37419;4771515861
tetris-noscaling;2527974;260672357030
tetris-noscaling;2445206;253798069940
tetris-noscaling;2530376;255708583177
tetris-noscaling;2421335;255928667086
tetris-noscaling;2583356;2640452896
tetris-noscaling;2379262;4098086860
tetris-noscaling;2567515;246315043016
tetris-noscaling;1698649;212163676159
tetris-noscaling;1703341;212914369793
tetris-noscaling;2517468;7817007088
tetris-grouped;37830;4806771508
tetris-grouped;39503;5028211004
tetris-grouped;38832;4937777398
tetris-grouped;37544;4779816865
tetris-grouped;37358;4764426524
tetris-grouped;37374;4763173231
tetris-grouped;37572;4785836992
tetris-grouped;37607;4801762426
tetris-grouped;37686;4809747147
tetris-grouped;37413;4782310389
overhead;54195;6884918532
overhead;46002;5861793893
overhead;36400;4665038656
overhead;39963;5102410156
overhead;41417;5285756732
overhead;39095;4989038376
overhead;53373;6778411847
overhead;34948;4479543341
overhead;33471;4285929153
overhead;35882;4589825835
