mode;time_ms;energy_uj
cfs;12214;1520822278
cfs;11991;1503478695
cfs;12163;1521499035
cfs;11533;1447277423
cfs;11268;1408646297
cfs;11212;1400563553
cfs;11339;1415333352
cfs;11259;1404497930
cfs;11235;1404027106
cfs;11444;1432933649
td;11029;1372723415
td;11031;1382723415
td;11017;1384881160
td;11018;1391625587
td;11066;1394926849
td;11017;1370451448
td;11028;1383522947
td;11128;1353522947
td;11029;1390457195
td;11028;1390886271
tetris;11484;426707282
tetris;11507;427714298
tetris;11551;427652592
tetris;11790;430437802
tetris;11686;429255615
tetris;11510;427290288
tetris;11541;427722477
tetris;11564;427610112
tetris;11583;428175906
tetris;11606;429174926
tetris-offline;8905;460183148
tetris-offline;8786;456344047
tetris-offline;9031;461094828
tetris-offline;8797;457312367
tetris-offline;9022;461134074
tetris-offline;8857;457880725
tetris-offline;8782;456854178
tetris-offline;8893;459297286
tetris-offline;8962;461213236
tetris-offline;8944;460159161
tetris-noscaling;11788;1475268318
tetris-noscaling;11973;1495331072
tetris-noscaling;11630;1465919282
tetris-noscaling;12086;1515953516
tetris-noscaling;11827;1491566738
tetris-noscaling;12003;1510606363
tetris-noscaling;11621;1470429280
tetris-noscaling;12325;1547774236
tetris-noscaling;11716;1483020190
tetris-noscaling;11619;1473356396
tetris-grouped;11529;428529970
tetris-grouped;11584;429078613
tetris-grouped;11514;428325868
tetris-grouped;11552;428768068
tetris-grouped;11508;427682377
tetris-grouped;11515;427854984
tetris-grouped;11564;428436342
tetris-grouped;11513;427137945
tetris-grouped;11505;427196111
tetris-grouped;11527;427698918
overhead;11715;1432287532
overhead;11756;1451869818
overhead;11839;1468380213
overhead;12176;1511884008
overhead;11719;1468788843
overhead;11632;1463970190
overhead;11652;1468458826
overhead;11544;1458267873
overhead;11550;1464205602
overhead;11709;1478299804
