mode;time_ms;energy_uj
cfs;104225;13049615518
cfs;104548;13056590904
cfs;104799;13097764016
cfs;103865;12977380413
cfs;104454;13062111214
cfs;103716;12960571557
cfs;103530;12935837734
cfs;104511;13059363479
cfs;104177;13015244391
cfs;103747;12968080754
td;168590;17408734059
td;121924;13126756923
td;111713;13318860924
td;120775;13600389987
td;159148;15854505616
td;114175;13185971859
td;170419;14594139702
td;104016;12770054101
td;140224;15737943780
td;160246;15126603244
tetris;85557;6156591477
tetris;90331;6074281630
tetris;89223;6341423891
tetris;90839;5801021160
tetris;85097;7424491675
tetris;86959;6914196289
tetris;89574;6697983646
tetris;86872;6324150619
tetris;86855;6324653426
tetris;87917;6285891989
tetris-offline;90791;5606098319
tetris-offline;90632;5582490409
tetris-offline;90636;5589251012
tetris-offline;90664;5590830780
tetris-offline;90673;5589934604
tetris-offline;90799;5592464626
tetris-offline;90793;5595504169
tetris-offline;90772;5597400954
tetris-offline;90790;5593759850
tetris-offline;90628;5587907020
tetris-noscaling;150561;9733359482
tetris-noscaling;159131;9679039797
tetris-noscaling;142077;10327016592
tetris-noscaling;139402;9795257944
tetris-noscaling;139840;10431644194
tetris-noscaling;144312;9644185943
tetris-noscaling;146253;10122082058
tetris-noscaling;138355;9675771861
tetris-noscaling;140502;10791604271
tetris-noscaling;147455;9595547335
tetris-grouped;85815;6914525878
tetris-grouped;105041;5605149347
tetris-grouped;102503;5354049587
tetris-grouped;104637;5387459902
tetris-grouped;101295;5241556833
tetris-grouped;101236;5245737120
tetris-grouped;101186;5248000909
tetris-grouped;101294;5254214332
tetris-grouped;101209;5251162827
tetris-grouped;101227;5239098588
overhead;105571;13240583109
overhead;106033;13302158329
overhead;105425;13229670478
overhead;105544;13230192083
overhead;103777;13024765729
overhead;105317;13209701108
overhead;105213;13182941777
overhead;105865;13282489312
overhead;104765;13142536302
overhead;105050;13183226078
