mode;time_ms;energy_uj
cfs;257020;32069753350
cfs;258307;32231098213
cfs;246821;30808076099
cfs;244115;30512951489
cfs;258428;32199377957
cfs;261544;32612808357
cfs;262401;32687172119
cfs;263390;32795527921
cfs;253444;31546411368
cfs;247406;30887343109
td;256561;29377125111
td;282169;30922988036
td;259247;29133162052
td;238216;28727544439
td;255613;29065453058
td;277541;30187826772
td;287543;30123123421
td;232521;31244231233
td;245542;31526435622
td;223546;33134221134
tetris;145821;14042568726
tetris;143305;14597857039
tetris;146421;13858515792
tetris;140834;15474175718
tetris;139448;15873723341
tetris;138883;16764103324
tetris;149769;14153318687
tetris;138201;16222738499
tetris;139602;17260618715
tetris;139628;16952747494
tetris-offline;144240;13128584310
tetris-offline;144209;13270108362
tetris-offline;144309;13208908812
tetris-offline;144436;13206178350
tetris-offline;144673;13226027055
tetris-offline;144399;13188423268
tetris-offline;144563;13221620144
tetris-offline;144288;13204411143
tetris-offline;143534;13154656448
tetris-offline;144260;13199673057
tetris-noscaling;656080;37736869763
tetris-noscaling;661840;38589399746
tetris-noscaling;637967;38536842081
tetris-noscaling;647835;39522077900
tetris-noscaling;653958;37335327089
tetris-noscaling;636184;39061130167
tetris-noscaling;987875;55258318072
tetris-noscaling;1031612;53106999788
tetris-noscaling;1008312;52391952485
tetris-noscaling;629634;40890160092
tetris-grouped;140883;15742848920
tetris-grouped;140046;15598974898
tetris-grouped;151281;13568827507
tetris-grouped;143401;14759813717
tetris-grouped;143413;14392655721
tetris-grouped;140007;15405575735
tetris-grouped;138708;15425432190
tetris-grouped;142745;16155836387
tetris-grouped;140001;17075513232
tetris-grouped;140235;16062608904
overhead;279825;34889197548
overhead;265915;33113996954
overhead;265649;33095303216
overhead;273777;34164410647
overhead;280344;34932756031
overhead;273527;34138474677
overhead;268112;33464530175
overhead;265652;33167518790
overhead;272416;33961808138
overhead;277031;34555322854
