mode;time_ms;energy_uj
cfs;4163;495989819
cfs;4195;502869624
cfs;4165;502614558
cfs;4169;504905140
cfs;4150;501046020
cfs;4164;501514708
cfs;4155;500945007
cfs;4176;501809141
cfs;4155;504202933
cfs;4147;502731867
td;4170;503221063
td;4152;501951840
td;4170;503518426
td;4152;502651118
td;4205;507215743
td;4172;507329390
td;4151;503266412
td;4182;506469956
td;4151;503030145
td;4153;503357110
tetris;6461;299240384
tetris;6419;293398541
tetris;6401;291800218
tetris;6454;299927699
tetris;6479;299136197
tetris;6520;299430935
tetris;6429;297221590
tetris;6474;295569312
tetris;6488;295556738
tetris;6430;297690949
tetris-offline;4163;484819926
tetris-offline;4206;488107271
tetris-offline;4143;486467993
tetris-offline;4203;489388274
tetris-offline;4191;489215910
tetris-offline;4173;491473901
tetris-offline;4172;491326379
tetris-offline;4145;483436629
tetris-offline;4170;493944048
tetris-offline;4185;494268083
tetris-noscaling;5026;328398146
tetris-noscaling;5075;329916941
tetris-noscaling;5045;328436781
tetris-noscaling;5057;329119519
tetris-noscaling;5094;332550113
tetris-noscaling;5089;331304022
tetris-noscaling;5074;329773753
tetris-noscaling;5026;327264665
tetris-noscaling;5070;331174933
tetris-noscaling;5074;332060429
tetris-grouped;6409;252596521
tetris-grouped;6503;255244403
tetris-grouped;6508;256444961
tetris-grouped;6492;255342303
tetris-grouped;6540;256124466
tetris-grouped;6473;254442097
tetris-grouped;6441;253943991
tetris-grouped;6456;254598957
tetris-grouped;6448;253369896
tetris-grouped;6502;254089743
overhead;4184;488195649
overhead;4179;489169952
overhead;4206;492251975
overhead;4204;499397647
overhead;4186;494677567
overhead;4183;498680119
overhead;4220;497459603
overhead;4202;497013376
overhead;4204;500931274
overhead;4226;499467410
