mode;time_ms;energy_uj
cfs;6178;909952626
cfs;6353;794160992
cfs;6358;792873215
cfs;6356;794605022
cfs;6355;794355693
cfs;6351;793460615
cfs;6353;794514080
cfs;6354;794197979
cfs;6353;794264447
cfs;6354;793944440
td;6359;794496624
td;6350;795287820
td;6349;794326580
td;6379;796850926
td;6355;794346965
td;6358;795088418
td;6350;795174112
td;6350;794495464
td;6353;794878763
td;6361;795187784
tetris;6253;884104609
tetris;6199;874416157
tetris;6179;875278948
tetris;6209;877238904
tetris;6173;876151810
tetris;6333;887864976
tetris;6212;878160594
tetris;6218;879028145
tetris;6190;876380324
tetris;6184;875677019
tetris-offline;6214;877862376
tetris-offline;6180;875245806
tetris-offline;6214;874592365
tetris-offline;6188;876410964
tetris-offline;6284;886186391
tetris-offline;6197;877312513
tetris-offline;6244;879988042
tetris-offline;6212;876010148
tetris-offline;6323;891503517
tetris-offline;6175;875303972
tetris-noscaling;6178;874205770
tetris-noscaling;6201;876205643
tetris-noscaling;6186;875297015
tetris-noscaling;6192;875958390
tetris-noscaling;6188;875802750
tetris-noscaling;6184;876506179
tetris-noscaling;6190;875047870
tetris-noscaling;6196;876202835
tetris-noscaling;6187;875866837
tetris-noscaling;6180;875670915
tetris-grouped;6262;886923083
tetris-grouped;6237;881793275
tetris-grouped;6244;880694767
tetris-grouped;6183;875092792
tetris-grouped;6234;878578195
tetris-grouped;6194;876805739
tetris-grouped;6274;884853448
tetris-grouped;6188;876465347
tetris-grouped;6188;875353228
tetris-grouped;6193;876739699
overhead;6236;884221369
overhead;6258;886112233
overhead;6257;885473991
overhead;6246;884417963
overhead;6230;884048091
overhead;6242;883131589
overhead;6245;885334220
overhead;6254;885376518
overhead;6255;885186394
overhead;6255;886090078
