mode;time_ms;energy_uj
cfs;7585;1057244608
cfs;7748;968749961
cfs;7771;970963701
cfs;7752;967841883
cfs;7766;971387162
cfs;7769;971342118
cfs;7742;967761866
cfs;7776;969602132
cfs;7793;972784985
cfs;7790;972460463
td;7798;975146674
td;7891;985840921
td;7885;987106298
td;7829;979089046
td;7880;985387919
td;7857;982525866
td;7890;985824076
td;7905;989758514
td;7870;983866195
td;7816;977288453
tetris;7601;1149151416
tetris;7746;1074008603
tetris;7743;1075091974
tetris;7720;1070684149
tetris;7721;1072053591
tetris;7675;1065254353
tetris;7686;1066860489
tetris;7699;1068644847
tetris;7707;1070189155
tetris;7704;1068119763
tetris-offline;7698;1066954056
tetris-offline;7722;1073378661
tetris-offline;7772;1076317801
tetris-offline;7714;1068488110
tetris-offline;7682;1068419262
tetris-offline;7648;1060119234
tetris-offline;7629;1060355501
tetris-offline;7687;1068399975
tetris-offline;7806;1082401953
tetris-offline;7682;1066952529
tetris-noscaling;7522;1116328502
tetris-noscaling;7636;1059036901
tetris-noscaling;7625;1060684053
tetris-noscaling;7636;1057998756
tetris-noscaling;7632;1060728913
tetris-noscaling;7635;1061663969
tetris-noscaling;7637;1058424720
tetris-noscaling;7629;1059323521
tetris-noscaling;7649;1059264439
tetris-noscaling;7634;1060464265
tetris-grouped;7716;1071896975
tetris-grouped;7733;1070273445
tetris-grouped;7908;1094824590
tetris-grouped;7735;1072206545
tetris-grouped;7730;1070086311
tetris-grouped;7729;1071759403
tetris-grouped;7701;1067537550
tetris-grouped;7715;1070200995
tetris-grouped;7734;1071900271
tetris-grouped;7776;1077697863
overhead;7627;1061052643
overhead;7657;1064489829
overhead;7653;1063435326
overhead;7596;1057825600
overhead;7852;980348260
overhead;7673;1065045430
overhead;7670;1065830157
overhead;7652;1063827660
overhead;7625;1060747895
overhead;7661;1064924703
