mode;time_ms;energy_uj
cfs;10581;1432030697
cfs;10622;1323736663
cfs;10626;1327261678
cfs;10668;1333308477
cfs;10520;1315493947
cfs;10645;1329836317
cfs;10642;1329249222
cfs;10623;1328487383
cfs;10748;1343280009
cfs;10619;1327725910
td;11426;1428233465
td;11458;1431867672
td;10223;1277786035
td;10987;1372388820
td;10581;1322667879
td;10526;1316425646
td;10607;1322456514
td;10385;1296522011
td;10376;1298025181
td;11014;1376114702
tetris;8598;1303107687
tetris;9139;1249570959
tetris;11636;1488218907
tetris;11496;1545720530
tetris;10393;1428272772
tetris;10306;1388622300
tetris;9237;1262502688
tetris;9566;1295867532
tetris;12308;1635565637
tetris;13073;1483065051
tetris-offline;9616;1385556572
tetris-offline;9319;1264595518
tetris-offline;11113;1496540542
tetris-offline;9749;1327244039
tetris-offline;10858;1462419657
tetris-offline;11231;1508065659
tetris-offline;11450;1535064002
tetris-offline;9751;1327817279
tetris-offline;9654;1316287036
tetris-offline;9103;1246023360
tetris-noscaling;10077;1440045935
tetris-noscaling;10487;1416451269
tetris-noscaling;10220;1385060846
tetris-noscaling;10175;1378989573
tetris-noscaling;10301;1396252895
tetris-noscaling;10258;1384881891
tetris-noscaling;10533;1421187707
tetris-noscaling;9516;1300199797
tetris-noscaling;9905;1345220616
tetris-noscaling;9618;1310795289
tetris-grouped;9244;1278416954
tetris-grouped;10024;1348465054
tetris-grouped;9330;1270684430
tetris-grouped;9220;1258611951
tetris-grouped;9369;1276161772
tetris-grouped;10041;1358172487
tetris-grouped;9550;1290529350
tetris-grouped;10680;1438277507
tetris-grouped;9671;1315814258
tetris-grouped;9000;1232639117
overhead;10413;1409749504
overhead;10611;1432701959
overhead;10595;1431605466
overhead;10544;1427086923
overhead;10545;1426199840
overhead;10571;1429771120
overhead;10378;1406457582
overhead;10518;1421333519
overhead;10543;1426827219
overhead;10597;1431943905
