mode;time_ms;energy_uj
cfs;1419;285421937
cfs;1605;202965240
cfs;1608;201029698
cfs;1604;200330115
cfs;1605;200743261
cfs;1607;201431979
cfs;1603;200561987
cfs;1607;201016087
cfs;1611;201537753
cfs;1607;201316074
td;1610;202107514
td;1608;202030305
td;1611;201748507
td;1606;201543368
td;1604;201480503
td;1614;201498935
td;1606;201839327
td;1612;201588107
td;1604;201391452
td;1610;201291172
tetris;1717;309914978
tetris;1709;310221007
tetris;1700;309199831
tetris;1706;310177794
tetris;1710;309917724
tetris;1717;310290832
tetris;1702;310006043
tetris;1709;310155639
tetris;1704;309882325
tetris;1707;309939819
tetris-offline;1451;285537660
tetris-offline;1451;286198425
tetris-offline;1446;285760376
tetris-offline;1444;286026063
tetris-offline;1448;285777589
tetris-offline;1449;286200927
tetris-offline;1441;285940613
tetris-offline;1450;286384521
tetris-offline;1450;286166382
tetris-offline;1450;286281433
tetris-noscaling;1730;311568538
tetris-noscaling;1720;311368709
tetris-noscaling;1718;311473507
tetris-noscaling;1726;311997004
tetris-noscaling;1719;311951777
tetris-noscaling;1726;312061457
tetris-noscaling;1714;311842036
tetris-noscaling;1726;312258356
tetris-noscaling;1714;311667842
tetris-noscaling;1725;312584771
tetris-grouped;1706;309489503
tetris-grouped;1706;309245241
tetris-grouped;1710;309216249
tetris-grouped;1700;309053286
tetris-grouped;1708;309469361
tetris-grouped;1709;309325685
tetris-grouped;1699;309685975
tetris-grouped;1712;310026977
tetris-grouped;1704;309801453
tetris-grouped;1699;309714844
overhead;1444;288225519
overhead;1432;288070674
overhead;1430;288146235
overhead;1434;287768856
overhead;1433;287706966
overhead;1437;288142634
overhead;1428;287931453
overhead;1428;287908565
overhead;1439;287816951
overhead;1428;286713133
