mode;time_ms;energy_uj
cfs;1021;226532318
cfs;1536;205754600
cfs;1619;202720917
cfs;1590;198880045
cfs;1623;203173003
cfs;1605;201151219
cfs;1591;198888285
cfs;1621;203153167
cfs;1596;199860572
cfs;1609;201506869
td;1593;199411233
td;1602;200414893
td;1624;203548551
td;1597;201061924
td;1572;197632429
td;1597;200265662
td;1595;200471838
td;1608;201769381
td;1584;199160318
td;1594;200744176
tetris;1772;244667160
tetris;1766;243509936
tetris;1749;242164297
tetris;1743;241608635
tetris;1758;240968560
tetris;1741;240970330
tetris;1751;242385488
tetris;1777;244608505
tetris;1787;243687364
tetris;1769;242575246
tetris-offline;1262;238311096
tetris-offline;1258;238724242
tetris-offline;1243;238846435
tetris-offline;1249;239430844
tetris-offline;1243;239222166
tetris-offline;1247;239055053
tetris-offline;1243;239119016
tetris-offline;1248;238970763
tetris-offline;1242;239627560
tetris-offline;1238;238534180
tetris-noscaling;1198;247272621
tetris-noscaling;1229;251533841
tetris-noscaling;1238;253354088
tetris-noscaling;1254;255902909
tetris-noscaling;1233;252203150
tetris-noscaling;1244;253673484
tetris-noscaling;1222;251744900
tetris-noscaling;1229;251316495
tetris-noscaling;1234;252689294
tetris-noscaling;1222;251500760
tetris-grouped;1072;230478353
tetris-grouped;1101;233401624
tetris-grouped;1109;232767043
tetris-grouped;1078;230373556
tetris-grouped;1071;229500878
tetris-grouped;1238;261686525
tetris-grouped;1073;230823018
tetris-grouped;1057;229147973
tetris-grouped;1051;228196804
tetris-grouped;1151;241788993
overhead;1061;229724204
overhead;1046;228283046
overhead;1067;230329000
overhead;1058;229617027
overhead;1057;230403280
overhead;1047;228418605
overhead;1068;230203451
overhead;1053;228624231
overhead;1064;229931724
overhead;1049;228454615
