mode;time_ms;energy_uj
cfs;72482;9167740386
cfs;73281;9165621311
cfs;72490;9068574014
cfs;72750;9095052034
cfs;73490;9194989828
cfs;73205;9143716949
cfs;72662;9061953669
cfs;72623;9048631193
cfs;72748;9086507317
cfs;72596;9073103054
td;71329;8920319998
td;71231;8900079999
td;71317;8898270372
td;71327;8925203653
td;71344;8924095196
td;71464;8939451358
td;71344;8924382244
td;71372;8923424910
td;71345;8921240284
td;71290;8914325751
tetris;78804;4990776042
tetris;79184;5013169173
tetris;78846;4994723358
tetris;78899;4995146147
tetris;78715;4988352220
tetris;78827;4995030853
tetris;78648;5053303286
tetris;78842;4991243387
tetris;78838;4987820666
tetris;78880;4992745031
tetris-offline;83302;4569794759
tetris-offline;83364;4569843770
tetris-offline;83378;4574400582
tetris-offline;83366;4571213823
tetris-offline;83255;4568937888
tetris-offline;83419;4571495011
tetris-offline;83300;4568931296
tetris-offline;83316;4569331503
tetris-offline;83404;4568360985
tetris-offline;83412;4571838882
tetris-noscaling;112908;6597468340
tetris-noscaling;113062;6602872623
tetris-noscaling;112941;6597360858
tetris-noscaling;113200;6605591549
tetris-noscaling;112867;6592316925
tetris-noscaling;112944;6597803972
tetris-noscaling;112909;6596479268
tetris-noscaling;113000;6597918961
tetris-noscaling;113108;6602552799
tetris-noscaling;112907;6598754104
tetris-grouped;78912;4999186848
tetris-grouped;78743;4985518182
tetris-grouped;78907;4996314052
tetris-grouped;78932;4995462919
tetris-grouped;78876;4994085970
tetris-grouped;78833;4992067176
tetris-grouped;78742;4989600325
tetris-grouped;78881;4995774381
tetris-grouped;78907;4997734215
tetris-grouped;78907;4997393456
overhead;75230;9616976601
overhead;74654;9414423897
overhead;74236;9364415724
overhead;74476;9400013106
overhead;75298;9474740271
overhead;74701;9428734041
overhead;73923;9309135532
overhead;73904;9326761097
overhead;74287;9372292291
overhead;75095;9471798506
