mode;time_ms;energy_uj
cfs;90873;11387963584
cfs;101401;12540525818
cfs;84921;10567563401
cfs;100068;12387216885
cfs;101555;12531098413
cfs;98695;12245959129
cfs;85801;10659766778
cfs;91067;11329058827
cfs;93776;11653074416
cfs;96234;11981540677
td;55743;6976187280
td;55768;6971260413
td;56592;7068897553
td;55837;6975678737
td;56195;7023304530
td;56207;7015796676
td;56336;7031780644
td;55976;6998780118
td;56026;7014249255
td;55953;7039594100
tetris;67302;4362335879
tetris;67233;4359365976
tetris;67344;4360071175
tetris;67253;4366338309
tetris;67332;4368539719
tetris;67299;4367952685
tetris;67271;4364417477
tetris;67355;4366626272
tetris;67353;4358191480
tetris;68210;4366828542
tetris-offline;68622;4224084157
tetris-offline;68297;4213826310
tetris-offline;68410;4217564642
tetris-offline;68466;4218339177
tetris-offline;71088;4330791831
tetris-offline;68432;4223926991
tetris-offline;68562;4219996338
tetris-offline;68282;4211111962
tetris-offline;68424;4215834605
tetris-offline;68510;4218756717
tetris-noscaling;490140;23734525909
tetris-noscaling;490485;23788091019
tetris-noscaling;490091;23785545859
tetris-noscaling;490107;23762262532
tetris-noscaling;490239;23724137814
tetris-noscaling;490143;23747091612
tetris-noscaling;491371;23757881685
tetris-noscaling;490106;23724404354
tetris-noscaling;489879;23687717497
tetris-noscaling;490542;23707602150
tetris-grouped;70061;4196933775
tetris-grouped;70021;4199795523
tetris-grouped;69458;4238328139
tetris-grouped;71021;4130957259
tetris-grouped;71752;4129044056
tetris-grouped;71614;4107494002
tetris-grouped;71654;4124833617
tetris-grouped;71642;4125816098
tetris-grouped;71558;4120665660
tetris-grouped;71554;4106901290
overhead;112256;13731928225
overhead;95414;11948913198
overhead;99091;12354251210
overhead;108654;13544672784
overhead;108141;13497200677
overhead;100008;12490580390
overhead;104154;13034484942
overhead;94924;11884049410
overhead;110044;13687907159
overhead;94508;11851815179
