mode;time_ms;energy_uj
cfs;10028;1239243715
cfs;9382;1152803018
cfs;9670;1192144531
cfs;9460;1233144531
cfs;9570;1121244531
cfs;8895;1098913019
cfs;8856;1091402296
cfs;8942;1105538857
cfs;8752;1085419219
cfs;8840;1086405299
td;8720;1069840218
td;8258;1015097865
td;8391;1033114787
td;9098;1116217235
td;9369;1131363498
td;9049;1117987311
td;9232;1125009571
td;9135;1124410451
td;9079;1116184398
td;9064;1113228169
tetris;8608;1143980592
tetris;8448;1122762690
tetris;8528;1135298668
tetris;8843;1172592640
tetris;8481;1133319792
tetris;8395;1121815671
tetris;8731;1154577794
tetris;8468;1129578651
tetris;8470;1129214394
tetris;8667;1146203365
tetris-offline;8392;1109034881
tetris-offline;8100;1079983686
tetris-offline;8304;1104642680
tetris-offline;8584;1127319868
tetris-offline;8305;1096589905
tetris-offline;8488;1123568291
tetris-offline;8517;1125162525
tetris-offline;8531;1125839159
tetris-offline;8507;1125165332
tetris-offline;8386;1106993748
tetris-noscaling;12114;1564159203
tetris-noscaling;11664;1526989255
tetris-noscaling;17869;2214957099
tetris-noscaling;19481;2501744450
tetris-noscaling;10135;1336555843
tetris-noscaling;12135;1126555843
tetris-noscaling;18308;2324816497
tetris-noscaling;13493;1756435078
tetris-noscaling;9324;1232314656
tetris-noscaling;9405;1245190538
tetris-grouped;8763;1169469296
tetris-grouped;9855;1285262395
tetris-grouped;8660;1147017632
tetris-grouped;8608;1145127500
tetris-grouped;8412;1125272876
tetris-grouped;8593;1145417600
tetris-grouped;8561;1144648620
tetris-grouped;8445;1128362773
tetris-grouped;8457;1131020359
tetris-grouped;8757;1163639660
overhead;21175;2727855566
overhead;8846;1174821211
overhead;11399;1490762419
overhead;34644;4316417844
overhead;12572;1643190007
overhead;20402;2519367085
overhead;13825;1747148054
overhead;22964;2899937889
overhead;9306;1231313743
overhead;12716;1658772425
