mode;time_ms;energy_uj
cfs;27893;3650731071
cfs;29476;3680642921
cfs;27700;3453928597
cfs;29597;3692141244
cfs;31547;3939218554
cfs;27590;3442515906
cfs;28984;3623603761
cfs;27078;3381018323
cfs;39560;4943517251
cfs;32851;4099739077
td;141667;15105419704
td;84163;9109413997
td;178347;17631296905
td;74179;8266110369
td;50063;6479964735
td;179136;17865757364
td;72726;7787096215
td;36191;4708646210
td;174550;14983754061
td;98487;12399335445
tetris;20952;2676835494
tetris;23018;2841774708
tetris;18800;2467167146
tetris;23944;2634956207
tetris;18306;2506607719
tetris;19920;2441108741
tetris;22536;2739935430
tetris;19027;2580895309
tetris;20068;2455433900
tetris;20293;2636845605
tetris-offline;18452;2404655282
tetris-offline;19518;2567810260
tetris-offline;18162;2357188729
tetris-offline;18715;2442515964
tetris-offline;18174;2356929879
tetris-offline;18266;2351619346
tetris-offline;18668;2471612630
tetris-offline;18880;2456100036
tetris-offline;18261;2357897956
tetris-offline;19352;2510703045
tetris-noscaling;73930;8608088193
tetris-noscaling;63930;6798088193
tetris-noscaling;62854;6209260960
tetris-noscaling;62809;6133966902
tetris-noscaling;58150;7103907168
tetris-noscaling;63190;7920702501
tetris-noscaling;55278;6821324945
tetris-noscaling;57759;7313533218
tetris-noscaling;57366;6823526355
tetris-noscaling;59781;7556484623
tetris-grouped;21498;2784919933
tetris-grouped;20920;2641230848
tetris-grouped;21462;2615669634
tetris-grouped;18660;2437359666
tetris-grouped;22173;2712640883
tetris-grouped;22349;2623696286
tetris-grouped;20060;2515024140
tetris-grouped;20278;2589278345
tetris-grouped;20680;2588438259
tetris-grouped;20639;2713474194
overhead;28398;3682402621
overhead;31420;4031665033
overhead;30543;3922637114
overhead;30855;3955118720
overhead;31179;4007961236
overhead;29444;3781788048
overhead;40937;5230102944
overhead;37527;4790126165
overhead;32540;4165504228
overhead;31414;4027732547
