mode;time_ms;energy_uj
cfs;168099;21106690596
cfs;169570;21165298905
cfs;169312;21136416594
cfs;168502;21110513645
cfs;168882;21057139698
cfs;169620;21226815960
cfs;168373;21046963026
cfs;169096;21119220410
cfs;168804;21072982674
cfs;169283;21191675607
td;224196;24340691960
td;173326;21359052804
td;179658;21181328038
td;205821;22546948444
td;209733;23759502347
td;250548;27264330777
td;195690;23036345934
td;201854;23892508720
td;177825;21583031234
td;217898;24847603322
tetris;82768;6211469755
tetris;79927;7151396182
tetris;81414;7048911643
tetris;80797;6965741445
tetris;80750;6934424814
tetris;79228;7280356118
tetris;80662;7022436368
tetris;78697;7027011551
tetris;78713;6994684792
tetris;78246;7320635800
tetris-offline;123778;15606213344
tetris-offline;86085;6755280924
tetris-offline;84942;5865554930
tetris-offline;124647;15711157411
tetris-offline;85691;5712198389
tetris-offline;84969;5912381532
tetris-offline;85439;8327498762
tetris-offline;84998;5900448335
tetris-offline;85508;6822977223
tetris-offline;159477;8810266814
tetris-noscaling;214765;18947436907
tetris-noscaling;188179;18021813117
tetris-noscaling;199291;17615728769
tetris-noscaling;197199;18171541066
tetris-noscaling;186516;18165343511
tetris-noscaling;186395;18414793129
tetris-noscaling;186548;18438972999
tetris-noscaling;184861;18147940967
tetris-noscaling;187748;18485890603
tetris-noscaling;188067;18376352981
tetris-grouped;98037;5650450989
tetris-grouped;97507;5757453949
tetris-grouped;82367;6226281119
tetris-grouped;81006;6518446570
tetris-grouped;77070;7306252353
tetris-grouped;80909;6456969860
tetris-grouped;96504;5936397583
tetris-grouped;81375;6303825598
tetris-grouped;84158;7383570026
tetris-grouped;82160;6682610823
overhead;170373;21266236269
overhead;169278;21192127938
overhead;169716;21336067999
overhead;170234;21344511642
overhead;169829;21288774480
overhead;170699;21379000323
overhead;170231;21305394982
overhead;170089;21314361878
overhead;170237;21328368678
overhead;169707;21270707754
